max_size,c,time
65536,3, 0.002648733
65536,5, 0.005019600
65536,7, 0.004886200
65536,9, 0.005247467
65536,11, 0.006238800
65536,13, 0.007962467
65536,15, 0.007187667
65536,17, 0.008013667
65536,19, 0.008594200
65536,21, 0.009506867
65536,23, 0.009909533
65536,25, 0.009914267
65536,27, 0.011358267
65536,29, 0.011079000
65536,31, 0.012199733
131072,3, 0.015502867
131072,5, 0.018815000
131072,7, 0.006344600
131072,9, 0.012601400
131072,11, 0.016152200
131072,13, 0.012889933
131072,15, 0.014144800
131072,17, 0.017392267
131072,19, 0.016662400
131072,21, 0.018381467
131072,23, 0.019712667
131072,25, 0.021789467
131072,27, 0.021878467
131072,29, 0.023428400
131072,31, 0.013342000
262144,3, 0.016352200
262144,5, 0.010484867
262144,7, 0.021028267
262144,9, 0.023519533
262144,11, 0.022580467
262144,13, 0.025730000
262144,15, 0.031824600
262144,17, 0.030509333
262144,19, 0.032593000
262144,21, 0.034256800
262144,23, 0.036446000
262144,25, 0.037785600
262144,27, 0.044275933
262144,29, 0.044106467
262144,31, 0.049193800
524288,3, 0.062070933
524288,5, 0.043328267
524288,7, 0.034789400
524288,9, 0.049621400
524288,11, 0.049319333
524288,13, 0.100086933
524288,15, 0.069728600
524288,17, 0.099127733
524288,19, 0.061236733
524288,21, 0.070058867
524288,23, 0.082580667
524288,25, 0.119566400
524288,27, 0.062895867
524288,29, 0.131340667
524288,31, 0.094280333
1048576,3, 0.138325533
1048576,5, 0.082550333
1048576,7, 0.096890800
1048576,9, 0.047227133
1048576,11, 0.098855667
1048576,13, 0.099179467
1048576,15, 0.108893400
1048576,17, 0.115993467
1048576,19, 0.070152933
1048576,21, 0.135191200
1048576,23, 0.139059067
1048576,25, 0.152254000
1048576,27, 0.090242600
1048576,29, 0.168734867
1048576,31, 0.226109533
