epsilon,alpha,prob_empirica,array_size,c,time
0.025000, 0.025000, 0.975000, 65536, 32769, 0.276433
0.025000, 0.050000, 0.975000, 65536, 32769, 0.275850
0.025000, 0.075000, 0.975000, 65536, 32769, 0.275870
0.025000, 0.100000, 0.975000, 65536, 32769, 0.275845
0.025000, 0.125000, 0.975000, 65536, 32769, 0.275668
0.025000, 0.150000, 0.975000, 65536, 32769, 0.276104
0.025000, 0.175000, 0.975000, 65536, 32769, 0.275918
0.025000, 0.200000, 0.975000, 65536, 32769, 0.275712
0.025000, 0.225000, 0.975000, 65536, 32769, 0.275867
0.025000, 0.250000, 0.975000, 65536, 32769, 0.276169
0.025000, 0.275000, 0.975000, 65536, 32769, 0.275882
0.025000, 0.300000, 0.975000, 65536, 32769, 0.275788
0.025000, 0.325000, 0.975000, 65536, 32769, 0.275590
0.025000, 0.350000, 0.975000, 65536, 32769, 0.276003
0.025000, 0.375000, 0.975000, 65536, 32769, 0.275809
0.025000, 0.400000, 0.975000, 65536, 32769, 0.275784
0.025000, 0.425000, 0.975000, 65536, 32769, 0.275968
0.025000, 0.450000, 0.975000, 65536, 32769, 0.275796
0.025000, 0.475000, 0.975000, 65536, 32769, 0.275758
0.025000, 0.500000, 0.975000, 65536, 32769, 0.275797
0.050000, 0.025000, 0.950000, 65536, 32769, 0.134516
0.050000, 0.050000, 0.950000, 65536, 32769, 0.134308
0.050000, 0.075000, 0.950000, 65536, 32769, 0.134520
0.050000, 0.100000, 0.950000, 65536, 32769, 0.134303
0.050000, 0.125000, 0.950000, 65536, 32769, 0.134295
0.050000, 0.150000, 0.950000, 65536, 32769, 0.134518
0.050000, 0.175000, 0.950000, 65536, 32769, 0.134328
0.050000, 0.200000, 0.950000, 65536, 32769, 0.134524
0.050000, 0.225000, 0.950000, 65536, 32769, 0.134267
0.050000, 0.250000, 0.950000, 65536, 32769, 0.134974
0.050000, 0.275000, 0.950000, 65536, 32769, 0.134435
0.050000, 0.300000, 0.950000, 65536, 32769, 0.134420
